Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
04/23/2024 01:21:35 pm,0.066,1.2E-6,04/23/2024 01:21:47 pm,0.066,9.4E-7,04/23/2024 01:21:57 pm,0.066,1.3E-6,04/23/2024 01:22:05 pm,0.066,9.0E-7
04/23/2024 01:21:35 pm,0.067,1.0E-6,04/23/2024 01:21:47 pm,0.067,1.1E-6,04/23/2024 01:21:57 pm,0.067,1.3E-6,04/23/2024 01:22:05 pm,0.067,1.0E-6
04/23/2024 01:21:35 pm,0.068,1.2E-6,04/23/2024 01:21:47 pm,0.068,1.0E-6,04/23/2024 01:21:57 pm,0.068,1.2E-6,04/23/2024 01:22:05 pm,0.068,8.3E-7
04/23/2024 01:21:35 pm,0.069,1.2E-6,04/23/2024 01:21:47 pm,0.069,9.7E-7,04/23/2024 01:21:57 pm,0.069,1.2E-6,04/23/2024 01:22:05 pm,0.069,9.9E-7
04/23/2024 01:21:35 pm,0.070,1.1E-6,04/23/2024 01:21:47 pm,0.070,9.2E-7,04/23/2024 01:21:57 pm,0.070,1.2E-6,04/23/2024 01:22:05 pm,0.070,9.9E-7
04/23/2024 01:21:35 pm,0.071,1.0E-6,04/23/2024 01:21:47 pm,0.071,7.9E-7,04/23/2024 01:21:57 pm,0.071,1.3E-6,04/23/2024 01:22:05 pm,0.071,7.6E-7
04/23/2024 01:21:35 pm,0.072,9.5E-7,04/23/2024 01:21:47 pm,0.072,9.1E-7,04/23/2024 01:21:57 pm,0.072,1.3E-6,04/23/2024 01:22:05 pm,0.072,7.8E-7
04/23/2024 01:21:35 pm,0.073,1.2E-6,04/23/2024 01:21:47 pm,0.073,8.3E-7,04/23/2024 01:21:57 pm,0.073,1.2E-6,04/23/2024 01:22:05 pm,0.073,8.2E-7
04/23/2024 01:21:35 pm,0.074,1.1E-6,04/23/2024 01:21:47 pm,0.074,7.8E-7,04/23/2024 01:21:57 pm,0.074,1.3E-6,04/23/2024 01:22:05 pm,0.074,9.3E-7
04/23/2024 01:21:35 pm,0.075,1.1E-6,04/23/2024 01:21:47 pm,0.075,5.9E-7,04/23/2024 01:21:57 pm,0.075,1.2E-6,04/23/2024 01:22:05 pm,0.075,9.9E-7
04/23/2024 01:21:35 pm,0.076,1.2E-6,04/23/2024 01:21:47 pm,0.076,6.7E-7,04/23/2024 01:21:57 pm,0.076,1.2E-6,04/23/2024 01:22:05 pm,0.076,9.7E-7
04/23/2024 01:21:35 pm,0.077,9.8E-7,04/23/2024 01:21:47 pm,0.077,6.7E-7,04/23/2024 01:21:57 pm,0.077,1.1E-6,04/23/2024 01:22:05 pm,0.077,7.0E-7
